"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1900745","BP","GO:1900745","positive regulation of p38MAPK cascade",23,0.642489014703956,1.71499877919448,0.00696044551549797,0.0475099423654677,0.0365565281521891,3743,"tags=48%, list=17%, signal=40%","ENSG00000112715/ENSG00000130222/ENSG00000125845/ENSG00000125538/ENSG00000164620/ENSG00000066336/ENSG00000141503/ENSG00000176170/ENSG00000163874/ENSG00000197442/ENSG00000111961"
"GO:1901224","BP","GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction",59,0.512238929677608,1.62172821927354,0.00693279767469144,0.0473629190921211,0.0364434010852317,3743,"tags=34%, list=17%, signal=28%","ENSG00000166923/ENSG00000142405/ENSG00000115604/ENSG00000167207/ENSG00000184489/ENSG00000095970/ENSG00000078401/ENSG00000162511/ENSG00000137462/ENSG00000239732/ENSG00000125538/ENSG00000162711/ENSG00000125735/ENSG00000176170/ENSG00000106100/ENSG00000150782/ENSG00000176907/ENSG00000168961/ENSG00000135077/ENSG00000111961"
"GO:0050830","BP","GO:0050830","defense response to Gram-positive bacterium",67,0.479408435864425,1.55072106998909,0.00691121389480509,0.047257101005572,0.0363619793518567,3226,"tags=34%, list=15%, signal=29%","ENSG00000000938/ENSG00000148926/ENSG00000167207/ENSG00000168685/ENSG00000012223/ENSG00000144214/ENSG00000136244/ENSG00000188257/ENSG00000105697/ENSG00000104998/ENSG00000137462/ENSG00000142627/ENSG00000125538/ENSG00000124635/ENSG00000106952/ENSG00000164104/ENSG00000174885/ENSG00000089041/ENSG00000106100/ENSG00000187796/ENSG00000150782/ENSG00000102575/ENSG00000169413"
"GO:0016264","BP","GO:0016264","gap junction assembly",17,0.687639265315628,1.72366342216516,0.00690339349164536,0.0472452896153734,0.0363528910769228,1514,"tags=41%, list=7%, signal=38%","ENSG00000169562/ENSG00000135744/ENSG00000177508/ENSG00000130234/ENSG00000165474/ENSG00000265107/ENSG00000125538"
"GO:0042100","BP","GO:0042100","B cell proliferation",73,0.484658418489985,1.58059078562301,0.00689225308850933,0.0472338001637255,0.0363440505176271,4090,"tags=40%, list=19%, signal=32%","ENSG00000167851/ENSG00000004468/ENSG00000168685/ENSG00000012124/ENSG00000113916/ENSG00000146072/ENSG00000239732/ENSG00000107338/ENSG00000185950/ENSG00000087088/ENSG00000122122/ENSG00000075426/ENSG00000159958/ENSG00000163932/ENSG00000144802/ENSG00000168918/ENSG00000196839/ENSG00000102524/ENSG00000163599/ENSG00000198286/ENSG00000197329/ENSG00000011600/ENSG00000171793/ENSG00000127666/ENSG00000186827/ENSG00000010671/ENSG00000154822/ENSG00000109743/ENSG00000072274"
"GO:0098869","BP","GO:0098869","cellular oxidant detoxification",78,0.478703122283285,1.57033034160885,0.00689225308850933,0.0472338001637255,0.0363440505176271,1854,"tags=15%, list=8%, signal=14%","ENSG00000196565/ENSG00000163220/ENSG00000257017/ENSG00000164867/ENSG00000087250/ENSG00000206172/ENSG00000132965/ENSG00000244734/ENSG00000074706/ENSG00000008394/ENSG00000167693/ENSG00000188536"
"GO:0019898","CC","GO:0019898","extrinsic component of membrane",143,0.414953457118884,1.47864067486263,0.00689562313455472,0.0472338001637255,0.0363440505176271,4929,"tags=33%, list=22%, signal=26%","ENSG00000149927/ENSG00000101542/ENSG00000115266/ENSG00000145526/ENSG00000167207/ENSG00000011422/ENSG00000071991/ENSG00000159753/ENSG00000105639/ENSG00000156049/ENSG00000065989/ENSG00000124215/ENSG00000185666/ENSG00000141506/ENSG00000149970/ENSG00000126217/ENSG00000116675/ENSG00000066032/ENSG00000167083/ENSG00000159189/ENSG00000179242/ENSG00000176533/ENSG00000087258/ENSG00000060558/ENSG00000136717/ENSG00000154162/ENSG00000141404/ENSG00000117461/ENSG00000173372/ENSG00000140945/ENSG00000113361/ENSG00000056972/ENSG00000213760/ENSG00000240771/ENSG00000128266/ENSG00000114353/ENSG00000088256/ENSG00000179776/ENSG00000165801/ENSG00000166341/ENSG00000139880/ENSG00000038382/ENSG00000086300/ENSG00000105559/ENSG00000115085/ENSG00000168243/ENSG00000146535"
"GO:0061615","BP","GO:0061615","glycolytic process through fructose-6-phosphate",22,0.650025987949618,1.72339428016876,0.00684539947037295,0.0470143733332789,0.0361752125290885,2881,"tags=36%, list=13%, signal=32%","ENSG00000159399/ENSG00000067057/ENSG00000004939/ENSG00000160883/ENSG00000108515/ENSG00000108479/ENSG00000111674/ENSG00000111669"
"GO:0030316","BP","GO:0030316","osteoclast differentiation",88,0.4596143492674,1.54076861619498,0.00684301915972034,0.0470143733332789,0.0361752125290885,4729,"tags=40%, list=22%, signal=31%","ENSG00000091513/ENSG00000204577/ENSG00000164761/ENSG00000012223/ENSG00000064932/ENSG00000177706/ENSG00000095970/ENSG00000110719/ENSG00000170909/ENSG00000070404/ENSG00000156535/ENSG00000152495/ENSG00000125845/ENSG00000172216/ENSG00000142627/ENSG00000083454/ENSG00000104415/ENSG00000104972/ENSG00000075426/ENSG00000155090/ENSG00000154237/ENSG00000033327/ENSG00000168918/ENSG00000101265/ENSG00000154127/ENSG00000011600/ENSG00000077585/ENSG00000122378/ENSG00000107957/ENSG00000183864/ENSG00000072274/ENSG00000204103/ENSG00000170345/ENSG00000086300/ENSG00000105329"
"GO:0014074","BP","GO:0014074","response to purine-containing compound",128,0.429209143462689,1.5036029690518,0.00683029047070514,0.0469938529812313,0.0361594231429101,5291,"tags=41%, list=24%, signal=31%","ENSG00000124253/ENSG00000109321/ENSG00000163485/ENSG00000163083/ENSG00000103569/ENSG00000099822/ENSG00000134240/ENSG00000186642/ENSG00000178726/ENSG00000159167/ENSG00000108405/ENSG00000072310/ENSG00000128271/ENSG00000225697/ENSG00000167588/ENSG00000125538/ENSG00000083454/ENSG00000179094/ENSG00000001626/ENSG00000187486/ENSG00000115461/ENSG00000089041/ENSG00000120156/ENSG00000165140/ENSG00000053918/ENSG00000113448/ENSG00000240583/ENSG00000175592/ENSG00000136425/ENSG00000196839/ENSG00000073756/ENSG00000183023/ENSG00000142185/ENSG00000160741/ENSG00000169403/ENSG00000138867/ENSG00000140577/ENSG00000130529/ENSG00000116473/ENSG00000072954/ENSG00000130707/ENSG00000170345/ENSG00000132376/ENSG00000185650/ENSG00000110330/ENSG00000021826/ENSG00000169860/ENSG00000103319/ENSG00000196218/ENSG00000197594/ENSG00000198838/ENSG00000173039"
"GO:0019217","BP","GO:0019217","regulation of fatty acid metabolic process",78,0.479363008962762,1.57249502369795,0.00679014751677598,0.0467591508393259,0.0359788315650054,4735,"tags=41%, list=22%, signal=32%","ENSG00000234906/ENSG00000004799/ENSG00000130208/ENSG00000100078/ENSG00000152256/ENSG00000079385/ENSG00000130513/ENSG00000072310/ENSG00000103150/ENSG00000125538/ENSG00000025434/ENSG00000185950/ENSG00000172940/ENSG00000164687/ENSG00000214456/ENSG00000132170/ENSG00000073756/ENSG00000121769/ENSG00000127481/ENSG00000183655/ENSG00000112033/ENSG00000186480/ENSG00000094963/ENSG00000103507/ENSG00000072778/ENSG00000186951/ENSG00000110090/ENSG00000114166/ENSG00000115361/ENSG00000076555/ENSG00000105974/ENSG00000166148"
"GO:0048814","BP","GO:0048814","regulation of dendrite morphogenesis",61,0.509382084307132,1.62154125570729,0.00676225048409052,0.0466084357810115,0.0358628638538714,6078,"tags=46%, list=28%, signal=33%","ENSG00000157851/ENSG00000169306/ENSG00000080644/ENSG00000135298/ENSG00000157193/ENSG00000100968/ENSG00000049759/ENSG00000105186/ENSG00000128245/ENSG00000175866/ENSG00000153707/ENSG00000187764/ENSG00000286237/ENSG00000061337/ENSG00000174804/ENSG00000154310/ENSG00000189056/ENSG00000138411/ENSG00000094631/ENSG00000002746/ENSG00000137825/ENSG00000124006/ENSG00000103319/ENSG00000138814/ENSG00000008086/ENSG00000162065/ENSG00000125249/ENSG00000133216"
"GO:0045666","BP","GO:0045666","positive regulation of neuron differentiation",66,0.488740505658691,1.57473295962026,0.00676225048409052,0.0466084357810115,0.0358628638538714,3792,"tags=33%, list=17%, signal=28%","ENSG00000134259/ENSG00000176165/ENSG00000091129/ENSG00000177508/ENSG00000167191/ENSG00000128482/ENSG00000125845/ENSG00000113916/ENSG00000143869/ENSG00000274286/ENSG00000117707/ENSG00000184160/ENSG00000108960/ENSG00000158555/ENSG00000176887/ENSG00000158747/ENSG00000131711/ENSG00000107984/ENSG00000163909/ENSG00000078725/ENSG00000116584/ENSG00000198947"
"GO:0090660","BP","GO:0090660","cerebrospinal fluid circulation",15,-0.66102555021463,-1.74647345404497,0.00672946019696107,0.0464650350554195,0.0357525241565125,5324,"tags=73%, list=24%, signal=56%","ENSG00000144451/ENSG00000129295/ENSG00000109944/ENSG00000007174/ENSG00000213085/ENSG00000188596/ENSG00000204815/ENSG00000123977/ENSG00000197748/ENSG00000284862/ENSG00000163075"
"GO:0006198","BP","GO:0006198","cAMP catabolic process",10,0.779164674902466,1.71949084783145,0.00672769481838776,0.0464650350554195,0.0357525241565125,3288,"tags=70%, list=15%, signal=60%","ENSG00000284762/ENSG00000065989/ENSG00000113231/ENSG00000171408/ENSG00000113448/ENSG00000184588/ENSG00000112541"
"GO:0010324","BP","GO:0010324","membrane invagination",58,0.501914197331703,1.58839574828263,0.00670551352011587,0.0464650350554195,0.0357525241565125,6431,"tags=53%, list=29%, signal=38%","ENSG00000113249/ENSG00000167851/ENSG00000164171/ENSG00000095970/ENSG00000137801/ENSG00000038945/ENSG00000160255/ENSG00000145794/ENSG00000168461/ENSG00000155849/ENSG00000204991/ENSG00000169896/ENSG00000100092/ENSG00000221947/ENSG00000148180/ENSG00000100345/ENSG00000130340/ENSG00000064687/ENSG00000173548/ENSG00000123338/ENSG00000181790/ENSG00000158156/ENSG00000197943/ENSG00000163219/ENSG00000198742/ENSG00000110934/ENSG00000125730/ENSG00000171044/ENSG00000204472/ENSG00000254505/ENSG00000137942"
"GO:0003279","BP","GO:0003279","cardiac septum development",102,0.452690842327253,1.55686162384241,0.00671994007819607,0.0464650350554195,0.0357525241565125,4378,"tags=34%, list=20%, signal=28%","ENSG00000081479/ENSG00000164867/ENSG00000186642/ENSG00000103449/ENSG00000107485/ENSG00000145362/ENSG00000265107/ENSG00000183691/ENSG00000117707/ENSG00000164683/ENSG00000162496/ENSG00000176887/ENSG00000137868/ENSG00000164442/ENSG00000148400/ENSG00000101665/ENSG00000125618/ENSG00000077092/ENSG00000171316/ENSG00000163513/ENSG00000184058/ENSG00000163909/ENSG00000075223/ENSG00000128602/ENSG00000106991/ENSG00000169946/ENSG00000142871/ENSG00000004399/ENSG00000070614/ENSG00000135111/ENSG00000179284/ENSG00000085741/ENSG00000135766/ENSG00000103148/ENSG00000134817"
"GO:0070507","BP","GO:0070507","regulation of microtubule cytoskeleton organization",158,0.412867948254648,1.48874217689719,0.00671437617044456,0.0464650350554195,0.0357525241565125,4782,"tags=25%, list=22%, signal=19%","ENSG00000104833/ENSG00000015592/ENSG00000186868/ENSG00000134222/ENSG00000115266/ENSG00000168309/ENSG00000204389/ENSG00000139737/ENSG00000204388/ENSG00000185133/ENSG00000180198/ENSG00000076826/ENSG00000111913/ENSG00000182511/ENSG00000131351/ENSG00000131711/ENSG00000180834/ENSG00000171368/ENSG00000150764/ENSG00000013810/ENSG00000164695/ENSG00000004478/ENSG00000117632/ENSG00000078018/ENSG00000166851/ENSG00000149499/ENSG00000197457/ENSG00000105270/ENSG00000116584/ENSG00000197822/ENSG00000102606/ENSG00000008710/ENSG00000092036/ENSG00000179776/ENSG00000163635/ENSG00000094631/ENSG00000111199/ENSG00000074054/ENSG00000184349"
"GO:0097237","BP","GO:0097237","cellular response to toxic substance",108,0.438746671478101,1.51284183808225,0.00669356824552116,0.0464239071339634,0.0357208782747519,1951,"tags=15%, list=9%, signal=14%","ENSG00000196565/ENSG00000018280/ENSG00000163220/ENSG00000257017/ENSG00000164867/ENSG00000223802/ENSG00000087250/ENSG00000206172/ENSG00000132965/ENSG00000244734/ENSG00000074706/ENSG00000164638/ENSG00000008394/ENSG00000167693/ENSG00000188536/ENSG00000134184"
"GO:0016849","MF","GO:0016849","phosphorus-oxygen lyase activity",20,0.661008016171195,1.72688765788388,0.00662554793315808,0.0459932843990222,0.0353895355841681,5576,"tags=65%, list=25%, signal=49%","ENSG00000155897/ENSG00000004468/ENSG00000078295/ENSG00000129467/ENSG00000169418/ENSG00000143199/ENSG00000026297/ENSG00000121281/ENSG00000173175/ENSG00000109743/ENSG00000138031/ENSG00000164742/ENSG00000159899"
"GO:0090101","BP","GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",131,0.428977469976405,1.50661782857676,0.00656790676406582,0.045634004523805,0.0351130876615026,4859,"tags=32%, list=22%, signal=25%","ENSG00000081479/ENSG00000173714/ENSG00000166923/ENSG00000204389/ENSG00000170801/ENSG00000188766/ENSG00000180875/ENSG00000130513/ENSG00000070404/ENSG00000156535/ENSG00000125845/ENSG00000141232/ENSG00000064393/ENSG00000164105/ENSG00000167941/ENSG00000090539/ENSG00000183691/ENSG00000137642/ENSG00000158747/ENSG00000148400/ENSG00000164056/ENSG00000101665/ENSG00000132170/ENSG00000107984/ENSG00000138336/ENSG00000136158/ENSG00000119699/ENSG00000106991/ENSG00000123384/ENSG00000168556/ENSG00000103226/ENSG00000176973/ENSG00000179284/ENSG00000197859/ENSG00000163328/ENSG00000186951/ENSG00000116478/ENSG00000105974/ENSG00000124225/ENSG00000137834/ENSG00000105971/ENSG00000186174"
"GO:0030228","MF","GO:0030228","lipoprotein particle receptor activity",17,0.688934628700295,1.7269104305854,0.00654322576691584,0.0455377363303617,0.0350390140939807,2670,"tags=41%, list=12%, signal=36%","ENSG00000081479/ENSG00000184730/ENSG00000130164/ENSG00000157193/ENSG00000137642/ENSG00000010327/ENSG00000073060"
"GO:0070232","BP","GO:0070232","regulation of T cell apoptotic process",36,0.57715118277404,1.68512532472271,0.00654817848959934,0.0455377363303617,0.0350390140939807,3821,"tags=39%, list=17%, signal=32%","ENSG00000081181/ENSG00000151651/ENSG00000157514/ENSG00000168685/ENSG00000105639/ENSG00000069399/ENSG00000169242/ENSG00000008513/ENSG00000089041/ENSG00000196839/ENSG00000171115/ENSG00000129465/ENSG00000168961/ENSG00000131981"
"GO:0021532","BP","GO:0021532","neural tube patterning",26,-0.555570217106716,-1.69865190414834,0.0064837775861763,0.0451942844648302,0.034774745034367,4587,"tags=46%, list=21%, signal=37%","ENSG00000125378/ENSG00000106571/ENSG00000146350/ENSG00000169379/ENSG00000204852/ENSG00000179029/ENSG00000158163/ENSG00000007372/ENSG00000103494/ENSG00000114315/ENSG00000133937/ENSG00000164690"
