"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","75/1420","196/9440",0.38265306122449,2.54383443518252,9.19006899725246,7.89864112166181e-16,9.05710848617221e-14,5.93090947380922e-14,"6403/2357/1378/2215/2209/27180/7097/2214/8969/2212/8345/8348/2359/2358/8358/51311/8336/4689/64581/8331/728/1535/3683/3690/4688/3018/834/718/85235/5880/8329/3689/6850/8968/7450/837/8357/8337/8970/3684/55766/1536/51284/8330/5336/8349/8335/3021/79792/8361/440689/3013/3017/5330/8338/8334/317772/8343/121504/440686/8364/8344/3012/8365/8339/8503/3065/3020/2475/55506/10014/9734/5579/23236/5603",75
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","12/1420","32/9440",0.375,2.49295774647887,3.55953962944922,0.0015446650677713,0.00681236901683754,0.00446097603917758,"3117/3118/2207/3122/3109/3123/3111/3113/3115/3127/3108/958",12
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","26/1420","70/9440",0.371428571428571,2.4692152917505,5.19140182603871,4.4181939203733e-06,3.99962818054846e-05,2.61909556498584e-05,"3117/3118/3122/3109/942/3683/3383/3123/3111/3113/5880/3115/3689/3127/3133/3108/5551/3105/3106/3134/3107/857/1604/958/1525/8672",26
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","18/1420","50/9440",0.36,2.39323943661972,4.15621443234721,0.000205121920056986,0.00113809581450973,0.000745264701055942,"3569/3117/3118/3122/3109/942/7852/3123/3111/3113/3115/3127/23308/3108/3695/4055/7040/958",18
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","34/1420","95/9440",0.357894736842105,2.37924388435878,5.68503572072666,4.32513350431544e-07,5.51054046475745e-06,3.60849344999417e-06,"2919/6347/3569/3117/3118/3576/2920/7097/54/2353/3122/3109/942/3683/3383/3123/3111/3606/3113/3115/3553/3689/3127/6374/3108/1435/10312/284/7040/8992/7042/7043/1513/535",34
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","40/1420","112/9440",0.357142857142857,2.37424547283702,6.15600605984493,4.5130610815197e-08,8.35869399073681e-07,5.47356338438702e-07,"3117/3118/7097/3310/3122/4261/3109/3123/3111/1234/23643/3113/3115/5294/3127/240/3108/4615/3587/7132/330/7040/3949/4792/6774/3459/7042/958/7043/51135/3655/5606/3688/2771/3717/1147/5603/3912/4843/3914",40
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","42/1420","119/9440",0.352941176470588,2.34631317315659,6.2188245309003,3.09397374089812e-08,6.26074686393502e-07,4.09975467834178e-07,"4318/9021/3976/2919/6347/6401/3569/3627/7412/2920/64127/2353/7133/4323/3383/3726/79651/1326/3553/1906/3659/197259/6374/1435/7128/602/7132/330/4792/9586/8717/9252/148327/8837/64764/1051/843/8503/5606/1147/7187/5603",42
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","19/1420","54/9440",0.351851851851852,2.33907146583203,4.1522198650027,0.000194901033757147,0.00111743259354098,0.000731733705684727,"3117/3118/3122/3109/942/3123/3111/7038/3113/3115/3127/3133/3108/5551/3105/3106/3134/3107/958",19
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","38/1420","109/9440",0.348623853211009,2.31761209458586,5.82179230849909,2.01603113536954e-07,2.88964462736301e-06,1.89223974986439e-06,"50615/3569/3117/3118/3566/2353/3122/3109/3554/3123/3111/861/3113/3115/3561/3553/3127/10148/3108/7046/920/6776/7040/4792/4772/6774/3459/7048/3570/3718/4089/3717/2475/5534/5530/1147/3556/5603",38
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","31/1420","89/9440",0.348314606741573,2.31555625890172,5.24681052497053,2.69628839052033e-06,2.65006630382569e-05,1.73535553555293e-05,"960/1277/1280/3371/6696/1288/3678/1278/3339/1293/3690/3691/3673/7057/1292/7450/1287/3695/1282/8516/341640/7060/2335/3685/1284/3696/3655/3688/3912/3914/5649",31
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","40/1420","116/9440",0.344827586206897,2.29237493929092,5.89299905181241,1.35955235415206e-07,2.22707623727766e-06,1.45836693628341e-06,"4318/7412/4689/5010/7852/1535/3683/3383/399/4688/10398/5880/3689/5175/3684/10627/1536/4313/7122/4267/5336/4478/6494/1003/7408/5829/50848/83700/5908/5906/8503/3688/387/2771/9069/9475/83593/5579/5603/7070",40
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","61/1420","182/9440",0.335164835164835,2.22813805912397,7.03953993346881,2.70141058770567e-10,9.2928524217075e-09,6.08528279756856e-09,"3569/3117/3118/1378/2215/2209/7097/2214/2212/2213/929/2207/64127/9103/10332/64581/3122/4261/3109/972/3123/7421/3111/3606/718/3113/3115/3553/7096/3689/6850/3127/3684/4046/4360/3108/4615/3587/10312/7132/7040/1520/8717/3656/3459/7042/8767/7043/51135/1051/843/387/3717/4800/5534/535/5530/808/815/5603/4843",61
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","53/1420","159/9440",0.333333333333333,2.21596244131455,6.506408363735,5.02144462264653e-09,1.23384067870743e-07,8.07961766350645e-08,"8685/3117/3118/2215/2209/7097/2214/2212/2213/929/9103/3678/10332/4689/64581/3122/3109/84617/1535/3690/4688/3123/3111/715/3673/718/3113/7057/3115/4481/3689/3127/3684/6890/3133/4360/3108/3105/2204/3106/1536/10312/3134/1520/3107/8992/7060/3685/3688/29927/1778/535/6441",53
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","4/1420","12/9440",0.333333333333333,2.21596244131455,1.77345828627092,0.0928491986660712,0.21293416227419,0.1394366913301,"4804/2213/10332/4864",4
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","27/1420","82/9440",0.329268292682927,2.1889385091034,4.54982592203978,3.73048291683663e-05,0.000251624730076824,0.000164772620062547,"10437/3117/3118/3310/3122/4261/3109/972/3123/3111/3113/3115/3306/3127/6890/3133/3108/3105/3106/920/567/3134/1520/3107/5720/4800/927",27
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","36/1420","110/9440",0.327272727272727,2.17567221510883,5.2186930839119,2.35741375999169e-06,2.45528602265237e-05,1.60780663662058e-05,"653/57817/2331/7018/3399/7057/3397/7050/79875/2615/8200/654/4091/3077/7046/2014/4609/1634/4093/7040/4052/3400/7048/7042/658/656/7043/6667/4756/3065/4086/657/387/4089/92/353500",36
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","41/1420","126/9440",0.325396825396825,2.16320143080706,5.53085234683369,5.67275568927337e-07,6.96938556110728e-06,4.56379593046805e-06,"1277/1281/2212/2207/1278/5023/3690/8673/3673/5294/6850/7450/2149/6916/84876/10627/695/4846/83706/3710/5336/5742/4067/5330/3937/7408/196883/5321/5908/10672/5906/8503/3688/387/2771/83660/9475/107/3708/23236/5603",41
"hsa04981",NA,NA,"hsa04981","Folate transport and metabolism","10/1420","31/9440",0.32258064516129,2.14447978191731,2.68557458739255,0.012480200602919,0.0408875143562298,0.0267745657045079,"9376/2346/7298/2350/10257/6470/100528021/11309/4363/10057",10
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","33/1420","103/9440",0.320388349514563,2.1299056474771,4.85151181511354,1.02527133249371e-05,8.01575769040533e-05,5.24899677401084e-05,"7850/2919/3569/3576/1277/1281/2920/7097/929/1288/1278/3554/912/3553/3689/1287/3315/3684/1282/7040/2335/5330/7042/1284/7043/5269/8503/107/5579/23236/3912/4843/3914",33
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","29/1420","91/9440",0.318681318681319,2.11855749883919,4.51145272746493,3.88303526927908e-05,0.000256877717813847,0.000168212459033547,"11025/353514/1380/79168/10288/2213/2353/8519/10990/5880/11024/118788/10859/6850/27071/5777/695/5336/971/4792/4067/4772/975/8503/5534/2932/5530/1147/5579",29
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","29/1420","93/9440",0.311827956989247,2.07299712252007,4.37546174714687,6.07453017600466e-05,0.000386970070471408,0.000253401453735867,"3117/3118/3566/2353/3122/3109/864/3123/3111/3113/3115/3561/3127/3108/920/6776/4792/4772/3459/4853/3718/4851/84441/3717/5534/5530/1147/6775/5603",29
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","32/1420","103/9440",0.310679611650485,2.065363052099,4.57438322056754,2.79608529275472e-05,0.000200386112647422,0.0001312197922477,"6347/3569/3576/7097/5054/713/714/712/2353/718/3553/4615/7046/7132/624/7040/4792/8837/3459/7048/5330/7042/7043/51135/8503/2771/1147/107/5522/23236/5603/4843",32
"hsa04392","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","9/1420","29/9440",0.310344827586207,2.06313744536183,2.41262880285135,0.0225419697579382,0.0668993537252626,0.0438080223292723,"7005/26524/25937/10413/8463/79633/11186/6788/55233",9
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","13/1420","42/9440",0.30952380952381,2.05767940979209,2.89055312642735,0.00688581542808699,0.025470112981311,0.0166787153549589,"1356/7018/3162/51703/55240/1536/643246/23657/6303/2180/7157/4891/23305",13
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","32/1420","105/9440",0.304761904761905,2.02602280348759,4.44850909292585,4.27876639902444e-05,0.000277716158729134,0.00018185819451663,"6363/597/2919/3576/7412/2920/929/4616/3554/3383/4791/23643/60401/3553/6850/4615/695/7128/1647/7132/4055/330/5336/4792/4067/8717/8837/958/51135/1147/7187/5579",32
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","30/1420","99/9440",0.303030303030303,2.01451131028596,4.26970416873219,8.25834137238092e-05,0.000506556012254924,0.000331710485381132,"85477/2215/2209/2214/2212/2213/5788/3055/5880/6850/7454/2934/3985/8612/55616/5336/4067/10163/10095/65108/7408/5321/8613/8611/8503/8853/50807/5581/3984/5579",30
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","30/1420","99/9440",0.303030303030303,2.01451131028596,4.26970416873219,8.25834137238092e-05,0.000506556012254924,0.000331710485381132,"1674/3569/3678/3690/93589/3691/3673/1906/3695/8516/7040/183/4000/4634/7042/3685/5565/3696/7043/3655/3688/55799/9254/10369/776/59283/10368/782/784/7273",30
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","30/1420","100/9440",0.3,1.9943661971831,4.20622882562014,0.000101295507660679,0.000600787148884026,0.000393416309244742,"6363/2919/6347/8807/3577/5473/3569/3579/3627/3576/2920/6373/8794/7852/7133/3606/1234/1230/8793/3561/8797/8795/6374/1435/3587/7132/4055/1436/57007/3570",30
"hsa01523","Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","9/1420","30/9440",0.3,1.9943661971831,2.2952613787012,0.0280296773167906,0.0810269663611425,0.0530592741777371,"3569/7298/3553/2350/10257/6470/4363/1147/10057",9
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","61/1420","205/9440",0.297560975609756,1.97815183785641,5.95778376978486,4.61672051813952e-08,8.35869399073681e-07,5.47356338438702e-07,"960/3569/3117/1380/3118/3627/7097/4616/3122/1026/3109/1017/864/7431/3683/3383/3123/3111/4791/3113/3115/6850/3127/6890/3133/3280/3108/4615/3105/3106/695/4609/7128/3665/1647/567/3134/5336/4792/4067/3107/8717/965/6774/1643/3661/3718/7157/958/9641/10379/953/51135/10018/8503/3065/5606/1147/7187/4734/5603",61
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","41/1420","138/9440",0.297101449275362,1.97509695856297,4.85533453668027,7.63565635181337e-06,6.40650191469219e-05,4.19520015221582e-05,"6347/3569/3576/2212/2353/3678/58484/3606/834/5880/3553/7454/2533/391/29108/4615/920/7456/4792/10163/10095/4772/2335/6195/3937/5829/3661/51135/64283/5585/8503/5606/3688/387/2932/9475/1147/3984/9815/5603/927",41
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","28/1420","95/9440",0.294736842105263,1.95937731653076,3.95440891635195,0.000237483060236512,0.00123779049577819,0.000810548243869436,"4318/6280/6279/1440/2919/6347/8061/3569/3627/3576/2920/2353/3553/6374/7128/55540/23765/4792/9618/10758/8717/132014/9641/1051/2932/1147/7187/5603",28
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","66/1420","224/9440",0.294642857142857,1.95875251509054,6.11053552710779,1.99036181213321e-08,4.56456308915883e-07,2.98903458102812e-07,"7850/8061/3569/3117/3118/7538/2353/3122/1026/3109/3554/1017/3683/3383/3123/3111/4791/6688/3113/3115/3561/3689/3127/3133/701/3108/3105/706/3106/7046/4609/920/6776/567/7132/4055/3134/7040/4792/3107/11200/9586/4772/148327/7048/1031/7042/64764/6513/196883/3718/7157/958/7043/2002/8850/8503/4089/55697/5534/83660/51434/5530/2114/1147/107",66
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","60/1420","204/9440",0.294117647058824,1.95526097763049,5.80383610527276,9.43143516390147e-08,1.62220684819105e-06,1.06227743424995e-06,"4318/960/1277/7097/3678/1278/1026/3339/5329/3690/3059/7475/3673/3082/7057/3791/5777/2535/4609/1634/4313/51384/1839/8324/3710/7040/5336/4478/7855/2316/3316/7078/2247/857/6774/7484/2335/7042/3685/6608/5829/6383/51196/7157/8321/8826/967/2002/8503/3688/387/27250/2475/9475/3708/5579/286/815/5603/60495",60
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","15/1420","51/9440",0.294117647058824,1.95526097763049,2.8781765922136,0.00650043967086844,0.0244832501848184,0.0160324832911602,"4036/51129/344/9388/10577/706/26119/3949/1593/5360/27141/6646/19/4864/6272",15
"hsa00910","Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","5/1420","17/9440",0.294117647058824,1.95526097763049,1.65871542531201,0.0994673557823767,0.222186820708686,0.145495653707646,"759/23632/2746/2747/762",5
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","56/1420","191/9440",0.293193717277487,1.94911879654893,5.57583417434045,2.83069068229209e-07,3.89503037883391e-06,2.55060128846529e-06,"8969/8345/8348/8358/8336/8331/3018/85235/8329/8968/8357/8337/8970/55766/8330/8349/8335/3021/9586/148327/8361/5173/440689/3013/3017/8338/64764/59345/8334/55970/317772/8343/121504/440686/8364/4128/8344/3012/6464/8365/5569/8339/3065/3020/2771/10681/55506/10014/2785/808/814/2903/53358/9734/2904/1392",56
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","12/1420","41/9440",0.292682926829268,1.94572311920302,2.55349546336214,0.0147792254948269,0.0466426933047748,0.0305432569376432,"4318/3576/1890/1026/7057/4609/4313/999/1839/9252/7157/11186",12
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","25/1420","86/9440",0.290697674418605,1.93252538486734,3.65536868329386,0.000630543206470836,0.0030125953198051,0.00197275213720408,"1674/1832/3678/3690/93589/3691/3673/3695/8516/1824/3728/4000/2697/3685/3696/3655/3688/55799/9254/10369/776/59283/10368/782/784",25
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","27/1420","93/9440",0.290322580645161,1.93003180372558,3.79247855881848,0.000398280678071298,0.00195726504652181,0.00128168518958283,"4616/1288/1026/1017/3673/1287/1282/4609/1647/330/4792/9618/1164/2335/3685/1643/1284/7157/3655/8503/3688/1147/7187/3912/4843/5915/3914",27
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","11/1420","38/9440",0.289473684210526,1.92438843587843,2.40245996798288,0.020844404687503,0.0634555328539915,0.0415528887109981,"4261/5788/3561/6890/84876/695/920/3718/958/7374/927",11
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","41/1420","142/9440",0.288732394366197,1.91946042451894,4.64517867269582,1.64102331610124e-05,0.000122720004508441,8.03613248617084e-05,"4318/7850/6347/6401/7412/2353/3554/1535/3383/59341/3690/4688/5880/3162/7056/3553/1906/10365/1843/5175/3791/4846/4313/7132/4257/4780/1728/1003/857/658/3685/6383/7157/2950/8503/657/387/92/1147/808/5603",41
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","86/1420","298/9440",0.288590604026846,1.91851781831931,6.77945980628829,4.35092584331764e-10,1.36065317281933e-08,8.91002995665048e-09,"653/6363/7850/1440/3976/2919/9173/6347/8807/50615/3577/5473/3569/3579/3627/3576/4804/2920/51330/6373/3566/4982/5008/8794/9180/3554/9518/7852/7133/1441/1439/3606/1234/1230/8793/60401/3561/3553/3563/3953/58191/3597/8200/654/8797/8795/944/6374/10148/1435/7046/920/3587/55540/7132/1438/4055/23765/1436/7040/768211/9235/90865/132014/57007/3459/3603/7048/7042/658/3570/656/94/958/1270/7043/2662/84957/657/92/3556/353500/4352/285613/8808/7066",86
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","62/1420","216/9440",0.287037037037037,1.90818988002087,5.68151120815665,1.52939466463962e-07,2.39141711198194e-06,1.56598305374583e-06,"4318/6403/2919/6347/6401/3569/3576/7412/2920/7097/3310/929/2353/4689/1535/3383/4688/3606/834/23643/3553/3306/8797/8795/29108/4615/4846/1536/3665/7132/3949/4792/4067/4772/4780/6774/5330/19/3661/7157/958/9641/5908/51135/5906/8503/5606/9619/387/3717/5534/2932/9475/5530/1147/808/3708/7187/23236/815/5603/1543",62
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","56/1420","196/9440",0.285714285714286,1.89939637826962,5.35388677944572,7.1771617947423e-07,8.51359881859086e-06,5.57500045036244e-06,"2919/3569/3576/2920/7538/2353/1026/942/3383/3055/1234/1230/718/5294/6850/9976/3133/3105/3106/4609/3665/7132/643246/3134/3710/5336/4792/4067/3107/8717/4772/9261/2247/6774/3459/59345/3661/55970/7157/9641/10379/100507436/8503/3717/2475/10681/5534/2932/5530/1147/2785/808/3708/7187/5603/131450",56
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","30/1420","105/9440",0.285714285714286,1.89939637826962,3.89949711963235,0.000264641895309219,0.00134232863349932,0.000879003450333089,"1674/5350/3678/3690/93589/3691/3673/3695/8516/7040/183/4000/4634/7042/3685/196883/3696/7043/3655/3688/55799/9254/107/10369/776/59283/10368/782/784/7273",30
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","28/1420","98/9440",0.285714285714286,1.89939637826962,3.76586044447797,0.000418463539801207,0.00202748531960021,0.00132766786534408,"84876/3991/3710/3949/4881/183/9586/148327/23683/3762/5330/64764/196883/493/57118/5581/808/107/776/3708/814/492/5579/23236/491/747/815/57172",28
"hsa04920","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","20/1420","70/9440",0.285714285714286,1.89939637826962,3.17797400197111,0.00266223463270609,0.0107742201605988,0.0070553338872954,"9021/5105/7133/3953/51703/7132/6517/4792/8717/6774/2180/6513/5565/79602/5106/92579/3717/2475/23305/1147",20
"hsa00532","Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","6/1420","21/9440",0.285714285714286,1.89939637826962,1.73611450036935,0.0834233543015383,0.193902931619792,0.126974379946865,"9469/113189/29940/22856/54480/10090",6
