,ID,GeneID,geneSymbol,chr,strand,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
RI,4626,ENSG00000144381.18,HSPD1,chr2,-,"61,203,68,8,4","415,814,287,290,100","3,10,14,3,11,9,1","99,308,311,118,234,194,75",504,98,0,0,"0.028,0.046,0.044,0.005,0.008","0.006,0.006,0.009,0.005,0.009,0.009,0.003",0.019
RI,4953,ENSG00000140990.15,NDUFB10,chr16,+,"241,344,183,44,204","6,825,716,401,007,430","107,84,68,54,109,102,95","79,880,262,794,667,300,000,000",258,98,0,0,"0.118,0.186,0.098,0.016,0.151","0.048,0.038,0.04,0.021,0.058,0.036,0.033",0.075
RI,5060,ENSG00000163703.20,CRELD1,chr3,+,"80,114,96,17,44","215,203,177,268,85","13,30,11,6,33,13,21","71,295,213,110,171,151,88",306,98,0,0,"0.106,0.152,0.148,0.02,0.142","0.055,0.032,0.016,0.017,0.058,0.027,0.071",0.074
RI,5332,ENSG00000013441.17,CLK1,chr2,-,"26,145,86,3,19","106,209,111,26,23","2,4,8,0,8,3,2","24,31,19,11,52,69,38",830,98,0,0,"0.028,0.076,0.084,0.013,0.089","0.01,0.015,0.047,0.0,0.018,0.005,0.006",0.044
RI,6226,ENSG00000115286.21,NDUFS7,chr19,+,"86,210,211,622,743,700","385,317,472,760,248","584,502,385,512,816,000,000","529,460,250,447,603,000,000",2158,98,0,0,"0.092,0.128,0.135,0.043,0.121","0.048,0.047,0.065,0.049,0.058,0.052,0.071",0.048
RI,6933,ENSG00000115541.11,HSPE1,chr2,+,"62,310,121,27,50","11,101,205,810,871,700","23,24,16,19,36,34,31","658,723,487,774,762,000,000",178,98,0,0,"0.03,0.124,0.076,0.017,0.036","0.019,0.018,0.018,0.013,0.025,0.021,0.022",0.037
RI,7707,ENSG00000108654.16,DDX5,chr17,-,"7,741,233,956,299,260","142,155,114,539,38","106,307,233,63,319,268,153","132,380,382,207,445,000,000",1334,98,0,0,"0.286,0.369,0.381,0.039,0.34","0.056,0.056,0.043,0.022,0.05,0.081,0.083",0.227
RI,7718,ENSG00000182944.18,EWSR1,chr22,+,"172,319,173,52,65","55,36,32,137,18","29,79,68,33,94,62,42","36,104,75,38,97,104,58",2873,98,0,0,"0.096,0.232,0.156,0.013,0.11","0.027,0.025,0.03,0.029,0.032,0.02,0.024",0.095
RI,7719,ENSG00000182944.18,EWSR1,chr22,+,"184,330,190,104,77","82,49,54,192,38","45,108,83,54,128,77,58","83,145,122,83,143,105,110",2876,98,0,0,"0.071,0.187,0.107,0.018,0.065","0.018,0.025,0.023,0.022,0.03,0.024,0.018",0.067
RI,8153,ENSG00000187147.19,RNF220,chr1,+,"115,219,237,21,68","356,294,280,550,111","18,31,23,15,91,47,41","222,569,454,278,450,000,000",844,98,0,0,"0.036,0.08,0.089,0.004,0.066","0.009,0.006,0.006,0.006,0.023,0.012,0.014",0.044
RI,8590,ENSG00000141562.19,NARF,chr17,+,"109,92,173,11,28","115,93,112,161,62","20,14,32,11,35,23,47","83,157,118,107,121,80,91",1131,98,0,0,"0.076,0.079,0.118,0.006,0.038","0.02,0.008,0.023,0.009,0.024,0.024,0.043",0.042
RI,9490,ENSG00000144029.14,MRPS5,chr2,-,"124,225,112,26,60","129,142,130,181,35","19,27,30,8,58,22,42","44,160,120,80,117,95,59",3014,98,0,0,"0.03,0.049,0.027,0.005,0.053","0.014,0.005,0.008,0.003,0.016,0.007,0.023",0.022
RI,9844,ENSG00000137497.19,NUMA1,chr11,-,"189,245,207,144,104","147,152,154,171,77","46,49,37,56,75,63,111","134,118,92,62,129,175,126",1350,98,0,0,"0.085,0.105,0.089,0.058,0.089","0.024,0.029,0.028,0.062,0.04,0.025,0.06",0.047
RI,10375,ENSG00000169228.14,RAB24,chr5,-,"43,107,52,11,27","127,120,148,216,67","11,11,5,4,28,4,20","75,203,164,134,143,100,000",316,98,0,0,"0.095,0.217,0.098,0.016,0.111","0.044,0.017,0.009,0.009,0.057,0.008,0.027",0.083
RI,11468,ENSG00000106105.15,GARS1,chr7,+,"59,182,106,3,20","307,267,263,524,121","4,5,4,6,6,10,13","181,465,351,310,266,000,000",803,98,0,0,"0.023,0.077,0.047,0.001,0.02","0.003,0.001,0.001,0.002,0.003,0.004,0.005",0.031
RI,13001,ENSG00000136861.19,CDK5RAP2,chr9,-,"117,273,161,2,61","40,60,53,38,62","12,8,16,5,20,18,17","52,34,13,20,41,55,45",4822,98,0,0,"0.056,0.085,0.058,0.001,0.02","0.005,0.005,0.024,0.005,0.01,0.007,0.008",0.035
RI,5003,ENSG00000070423.18,RNF126,chr19,-,"24,32,37,19,18","31,33,46,170,21","8,12,10,5,21,5,19","49,99,106,105,93,121,108",801,98,1.11E-16,3.44E-14,"0.087,0.106,0.09,0.013,0.095","0.02,0.015,0.011,0.006,0.027,0.005,0.021",0.063
RI,12328,ENSG00000163913.14,IFT122,chr3,+,"26,53,20,5,12","104,90,80,79,125","2,1,5,3,2,2,8","93,59,55,101,53,82,104",541,98,2.22E-16,6.64E-14,"0.043,0.096,0.043,0.011,0.017","0.004,0.003,0.016,0.005,0.007,0.004,0.014",0.034
RI,5301,ENSG00000145191.15,EIF2B5,chr3,+,"20,67,72,4,6","96,71,82,97,29","2,5,9,2,9,7,5","67,103,71,58,105,68,60",397,98,3.33E-16,9.62E-14,"0.049,0.189,0.178,0.01,0.049","0.007,0.012,0.03,0.008,0.021,0.025,0.02",0.077
RI,3486,ENSG00000172932.16,ANKRD13D,chr11,+,"30,74,70,13,21","138,94,94,237,51","9,5,13,3,15,25,19","89,154,96,132,83,189,131",503,98,4.44E-16,1.20E-13,"0.041,0.133,0.127,0.011,0.074","0.019,0.006,0.026,0.004,0.034,0.025,0.027",0.057
RI,12574,ENSG00000169045.19,HNRNPH1,chr5,-,"40,70,36,0,26","177,164,123,263,54","4,13,2,2,16,10,14","107,187,176,88,178,221,107",748,98,4.44E-16,1.20E-13,"0.029,0.053,0.037,0.0,0.059","0.005,0.009,0.001,0.003,0.012,0.006,0.017",0.028
RI,8141,ENSG00000161203.14,AP2M1,chr3,+,"376,633,634,720,207","2,257,186,719,063,590,000","179,392,298,213,362,000,000","1,738,284,025,692,400,000,000,000,000",711,98,1.22E-15,3.20E-13,"0.022,0.045,0.044,0.027,0.035","0.014,0.019,0.016,0.012,0.027,0.028,0.028",0.014
RI,6982,ENSG00000170485.17,NPAS2,chr2,+,"82,87,63,23,71","28,34,46,72,15","22,17,13,8,49,16,19","40,60,45,37,57,23,30",5799,98,1.33E-15,3.38E-13,"0.047,0.041,0.023,0.005,0.074","0.009,0.005,0.005,0.004,0.014,0.012,0.011",0.029
RI,10372,ENSG00000048140.18,TSPAN17,chr5,+,"57,115,38,5,12","40,44,16,81,20","8,6,25,0,16,8,11","18,71,57,20,47,30,23",2079,98,1.55E-15,3.83E-13,"0.063,0.11,0.101,0.003,0.028","0.021,0.004,0.02,0.0,0.016,0.012,0.022",0.047
RI,2254,ENSG00000132002.10,DNAJB1,chr19,-,"152,380,265,12,13","137,740,441,236,249,000","1,6,5,2,6,6,4","94,147,141,104,135,100,000",393,98,2.00E-15,4.78E-13,"0.027,0.023,0.051,0.012,0.011","0.003,0.01,0.009,0.005,0.011,0.008,0.005",0.018
RI,7873,ENSG00000105221.18,AKT2,chr19,-,"114,141,121,10,66","54,30,51,76,40","3,18,30,4,38,28,33","36,53,44,31,49,51,60",1681,98,2.89E-15,6.71E-13,"0.11,0.215,0.122,0.008,0.088","0.005,0.019,0.038,0.007,0.043,0.031,0.031",0.084
RI,573,ENSG00000104936.20,DMPK,chr19,-,"75,69,76,6,24","59,86,41,63,37","10,6,2,4,14,12,15","35,39,28,26,40,74,73",720,98,3.11E-15,7.03E-13,"0.148,0.098,0.201,0.013,0.081","0.037,0.021,0.01,0.021,0.045,0.022,0.027",0.082
RI,7901,ENSG00000090861.17,AARS1,chr16,-,"93,106,83,25,44","830,565,623,925,187","14,25,10,11,33,53,49","367,776,662,534,493,000,000",430,98,4.44E-15,9.78E-13,"0.025,0.041,0.029,0.006,0.051","0.009,0.007,0.003,0.005,0.015,0.019,0.023",0.019
RI,10113,ENSG00000250988.9,SNHG21,chr15,+,"36,104,65,13,27","30,17,16,23,22","14,13,22,2,12,7,10","17,33,30,23,22,36,31",2043,98,6.22E-15,1.33E-12,"0.054,0.227,0.163,0.026,0.056","0.038,0.019,0.034,0.004,0.025,0.009,0.015",0.085
RI,4180,ENSG00000119139.21,TJP2,chr9,+,"44,85,75,17,14","49,61,60,80,47","3,5,11,2,29,7,13","34,41,35,33,61,73,24",1406,98,1.54E-14,3.23E-12,"0.059,0.089,0.08,0.015,0.02","0.006,0.008,0.021,0.004,0.032,0.007,0.036",0.036
RI,7361,ENSG00000131748.16,STARD3,chr17,+,"19,31,22,6,18","58,43,94,82,65","4,5,7,1,0,2,4","95,66,43,40,61,51,64",557,98,2.43E-14,4.96E-12,"0.054,0.113,0.04,0.013,0.046","0.007,0.013,0.028,0.004,0.0,0.007,0.011",0.043
RI,8516,ENSG00000122966.18,CIT,chr12,-,"51,142,47,6,28","42,37,39,73,5","0,25,10,2,31,12,6","12,78,49,23,97,39,12",1655,98,3.79E-14,7.55E-12,"0.067,0.185,0.067,0.005,0.249","0.0,0.019,0.012,0.005,0.019,0.018,0.029",0.1
RI,8517,ENSG00000122966.18,CIT,chr12,-,"16,31,13,8,2","50,54,39,111,4","5,4,8,0,4,3,2","28,88,102,27,196,62,25",341,98,5.33E-14,1.04E-11,"0.084,0.142,0.087,0.02,0.126","0.049,0.013,0.022,0.0,0.006,0.014,0.022",0.074
RI,5940,ENSG00000159377.11,PSMB4,chr1,+,"105,102,94,61,45","7,816,898,221,192,720","36,62,26,33,61,45,39","107,279,069,292,171,000,000,000",284,98,9.95E-14,1.89E-11,"0.044,0.049,0.038,0.017,0.021","0.011,0.026,0.013,0.012,0.029,0.015,0.011",0.017
RI,10211,ENSG00000103723.17,AP3B2,chr15,-,"107,145,113,29,27","241,141,213,388,94","25,33,24,17,38,41,69","142,378,254,205,200,000,000",1939,98,2.14E-13,3.99E-11,"0.022,0.049,0.026,0.004,0.014","0.009,0.004,0.005,0.004,0.01,0.01,0.013",0.015
RI,799,ENSG00000141837.23,CACNA1A,chr19,-,"18,61,21,4,15","30,33,54,96,22","9,7,7,1,8,3,14","45,76,50,64,82,67,57",1548,98,2.32E-13,4.22E-11,"0.037,0.105,0.024,0.003,0.041","0.013,0.006,0.009,0.001,0.006,0.003,0.015",0.034
RI,7872,ENSG00000105221.18,AKT2,chr19,-,"22,29,23,5,10","42,45,54,59,48","0,2,3,1,10,2,3","40,61,35,46,51,44,43",250,98,2.52E-13,4.49E-11,"0.17,0.202,0.143,0.032,0.076","0.0,0.013,0.033,0.008,0.071,0.018,0.027",0.1
RI,10212,ENSG00000103723.17,AP3B2,chr15,-,"34,98,42,21,9","153,128,174,338,48","9,21,19,11,13,14,19","105,296,247,142,150,000,000",539,98,3.25E-13,5.67E-11,"0.039,0.122,0.042,0.011,0.033","0.015,0.013,0.014,0.014,0.016,0.017,0.028",0.033
RI,2589,ENSG00000064601.21,CTSA,chr20,+,"131,140,105,37,76","219,160,159,281,66","42,28,40,22,51,49,79","102,241,209,96,192,187,140",1929,98,6.55E-13,1.12E-10,"0.029,0.043,0.032,0.007,0.055","0.02,0.006,0.01,0.012,0.013,0.013,0.028",0.019
RI,10985,ENSG00000135341.19,MAP3K7,chr6,-,"24,46,11,4,8","21,10,8,31,1","0,2,1,0,3,11,2","2,41,44,9,38,29,2",1597,98,6.76E-13,1.13E-10,"0.066,0.22,0.078,0.008,0.329","0.0,0.003,0.001,0.0,0.005,0.023,0.058",0.127
RI,7666,ENSG00000106636.9,YKT6,chr7,+,"8,11,5,14,4","0,0,0,0,0","2,21,12,3,12,6,7","0,7,2,4,2,2,0",694,98,1.14E-12,1.87E-10,"1.0,1.0,1.0,1.0,1.0","1.0,0.298,0.459,0.096,0.459,0.298,1.0",0.484
RI,2170,ENSG00000136448.13,NMT1,chr17,+,"29,91,52,12,12","187,121,127,193,82","6,5,6,8,12,8,11","48,142,174,59,114,119,72",1080,98,1.57E-12,2.52E-10,"0.014,0.064,0.036,0.006,0.013","0.011,0.003,0.003,0.012,0.009,0.006,0.014",0.018
RI,13209,ENSG00000107796.14,ACTA2,chr10,-,"25,12,12,25,12","24,41,275,14,21","9,22,39,2,39,14,17","11,27,23,16,10,5,29",1628,98,1.73E-12,2.73E-10,"0.059,0.017,0.003,0.097,0.033","0.047,0.047,0.093,0.007,0.19,0.144,0.034",-0.038
RI,13221,ENSG00000100650.16,SRSF5,chr14,+,"554,940,608,87,111","44,29,39,409,8","71,139,71,72,269,135,186","65,323,308,337,212,100,000",1313,98,3.04E-12,4.71E-10,"0.484,0.708,0.538,0.016,0.509","0.075,0.031,0.017,0.016,0.087,0.059,0.108",0.395
RI,914,ENSG00000129968.17,ABHD17A,chr19,-,"298,802,440,131,287","397,357,437,460,492","207,202,183,133,444,000,000","538,396,347,471,418,000,000",2331,98,3.16E-12,4.82E-10,"0.031,0.086,0.041,0.012,0.024","0.016,0.021,0.022,0.012,0.043,0.019,0.018",0.017
RI,12632,ENSG00000135924.17,DNAJB2,chr2,+,"62,207,129,15,24","460,547,366,367,165","6,12,15,0,31,19,15","213,308,337,136,364,000,000",1128,98,3.48E-12,5.20E-10,"0.012,0.032,0.03,0.004,0.012","0.002,0.003,0.004,0.0,0.007,0.008,0.006",0.014
RI,8438,ENSG00000128298.18,BAIAP2L2,chr22,-,"43,40,50,13,23","19,17,28,42,10","21,16,18,11,30,19,7","45,70,28,55,10,46,42",1581,98,4.37E-12,6.42E-10,"0.123,0.127,0.1,0.019,0.125","0.028,0.014,0.038,0.012,0.157,0.025,0.01",0.058
RI,1437,ENSG00000185324.22,CDK10,chr16,+,"81,103,105,10,24","53,54,65,117,34","7,30,17,9,35,24,36","51,106,70,63,83,65,60",803,98,4.62E-12,6.67E-10,"0.157,0.189,0.165,0.01,0.079","0.016,0.033,0.029,0.017,0.049,0.043,0.068",0.084
RI,4628,ENSG00000144381.18,HSPD1,chr2,-,"48,276,78,9,11","6,311,298,443,460,130","2,10,9,2,17,13,6","181,403,452,146,392,439,90",639,98,5.47E-12,7.73E-10,"0.012,0.032,0.026,0.003,0.012","0.002,0.004,0.003,0.002,0.007,0.005,0.01",0.012
RI,4863,ENSG00000116521.12,SCAMP3,chr1,-,"8,35,39,10,8","154,95,155,241,74","0,0,6,3,3,11,8","132,150,117,92,134,102,120",352,98,5.54E-12,7.73E-10,"0.014,0.093,0.065,0.011,0.029","0.0,0.0,0.014,0.009,0.006,0.029,0.018",0.032
RI,12917,ENSG00000099956.20,SMARCB1,chr22,+,"52,141,107,10,20","156,109,110,295,55","14,20,13,3,34,5,41","117,163,128,111,107,000,000",2311,98,7.98E-12,1.09E-09,"0.014,0.052,0.04,0.001,0.015","0.005,0.005,0.004,0.001,0.013,0.001,0.015",0.018
RI,8045,ENSG00000196352.18,CD55,chr1,+,"14,28,39,3,0","77,48,113,84,53","0,0,1,0,5,0,4","36,58,52,19,85,85,34",608,98,8.45E-12,1.14E-09,"0.028,0.086,0.053,0.006,0.0","0.0,0.0,0.003,0.0,0.009,0.0,0.019",0.03
RI,6957,ENSG00000124357.13,NAGK,chr2,+,"84,70,76,20,19","60,31,36,77,32","17,21,47,7,33,23,11","39,82,76,28,73,52,23",1887,98,1.06E-11,1.41E-09,"0.068,0.105,0.099,0.013,0.03","0.022,0.013,0.031,0.013,0.023,0.022,0.024",0.042
RI,8055,ENSG00000068724.18,TTC7A,chr2,+,"15,9,29,0,2","2,6,5,2,3","0,0,0,0,1,0,1","2,5,3,3,10,11,4",926,98,1.78E-11,2.33E-09,"0.443,0.137,0.38,0.0,0.066","0.0,0.0,0.0,0.0,0.01,0.0,0.026",0.2
RI,2903,ENSG00000166986.15,MARS1,chr12,+,"83,148,86,52,30","194,146,186,275,144","17,30,28,22,31,31,60","186,228,195,237,120,000,000",351,98,1.97E-11,2.50E-09,"0.107,0.221,0.114,0.05,0.055","0.025,0.035,0.039,0.025,0.067,0.036,0.108",0.062
RI,3542,ENSG00000173039.20,RELA,chr11,-,"91,101,91,6,9","36,42,26,69,17","12,12,0,2,9,23,14","35,39,26,31,42,56,32",785,98,1.94E-11,2.50E-09,"0.24,0.231,0.304,0.011,0.062","0.041,0.037,0.0,0.008,0.026,0.049,0.052",0.139
RI,4430,ENSG00000213928.10,IRF9,chr14,+,"284,234,354,339,164","17,21,40,2,23","207,129,96,126,144,145,168","3,0,0,2,0,1,0",1810,98,2.05E-11,2.56E-09,"0.475,0.376,0.324,0.902,0.279","0.789,1.0,1.0,0.773,1.0,0.887,1.0",-0.45
RI,10114,ENSG00000250988.9,SNHG21,chr15,+,"52,122,73,11,33","7,12,7,6,8","14,17,25,2,14,10,16","3,10,14,11,10,6,30",2217,98,2.29E-11,2.81E-09,"0.247,0.31,0.316,0.075,0.154","0.171,0.07,0.073,0.008,0.058,0.069,0.023",0.153
RI,1901,ENSG00000140553.18,UNC45A,chr15,+,"18,22,25,1,4","53,36,35,62,11","0,2,2,0,3,4,6","14,58,55,17,32,42,21",468,98,2.53E-11,3.07E-09,"0.066,0.113,0.13,0.003,0.071","0.0,0.007,0.008,0.0,0.019,0.02,0.056",0.061
RI,3161,ENSG00000139190.17,VAMP1,chr12,-,"81,104,85,21,43","194,105,177,319,13","27,29,14,6,45,19,25","62,374,294,80,355,216,79",501,98,2.67E-11,3.19E-09,"0.076,0.162,0.086,0.013,0.393","0.078,0.015,0.009,0.014,0.024,0.017,0.058",0.115
RI,1672,ENSG00000168488.19,ATXN2L,chr16,+,"94,610,151,107,529,600","4,2,3,5,0","509,394,296,235,440,000,000","3,5,11,19,4,6,23",726,98,3.24E-11,3.82E-09,"0.97,0.986,0.98,0.935,1.0","0.958,0.914,0.784,0.625,0.937,0.939,0.812",0.121
RI,538,ENSG00000131398.15,KCNC3,chr19,-,"59,153,86,31,56","41,37,36,74,63","29,22,10,16,54,42,60","65,53,50,83,44,86,99",1140,98,3.58E-11,4.16E-09,"0.11,0.262,0.17,0.035,0.071","0.037,0.034,0.017,0.016,0.095,0.04,0.05",0.088
RI,1111,ENSG00000108387.16,SEPTIN4,chr17,-,"70,80,78,17,69","1,255,887,158,912,470,000","38,39,10,15,28,22,37","20,721,014,698,902,100,000,000,000",253,98,4.05E-11,4.64E-09,"0.021,0.034,0.019,0.005,0.02","0.007,0.015,0.006,0.006,0.008,0.007,0.012",0.011
RI,6236,ENSG00000122218.17,COPA,chr1,-,"23,39,25,7,39","56,47,22,54,6","4,5,5,2,23,3,9","9,59,93,8,128,52,9",1143,98,4.15E-11,4.70E-09,"0.034,0.066,0.089,0.011,0.358","0.037,0.007,0.005,0.021,0.015,0.005,0.079",0.087
RI,8588,ENSG00000158864.13,NDUFS2,chr1,+,"102,144,162,59,27","339,315,426,535,141","50,40,31,37,48,76,123","289,466,359,353,429,000,000",332,98,4.92E-11,5.50E-09,"0.082,0.119,0.101,0.032,0.053","0.049,0.025,0.025,0.03,0.032,0.061,0.078",0.035
RI,7624,ENSG00000186501.15,TMEM222,chr1,+,"40,45,36,8,36","128,58,110,244,102","16,2,6,0,14,12,16","146,167,150,116,99,143,197",1195,98,6.14E-11,6.76E-09,"0.025,0.06,0.026,0.003,0.028","0.009,0.001,0.003,0.0,0.011,0.007,0.007",0.023
RI,13218,ENSG00000100650.16,SRSF5,chr14,+,"83,239,86,21,9","87,75,99,479,28","20,37,26,35,37,32,20","107,335,346,316,267,000,000",383,98,1.46E-10,1.58E-08,"0.196,0.449,0.182,0.011,0.076","0.046,0.027,0.019,0.028,0.034,0.032,0.029",0.152
RI,7614,ENSG00000158411.11,MITD1,chr2,-,"58,89,56,23,15","0,10,3,0,5","14,10,13,13,19,13,15","0,0,0,0,0,0,0",2583,98,1.70E-10,1.82E-08,"1.0,0.252,0.415,1.0,0.102","1.0,1.0,1.0,1.0,1.0,1.0,1.0",-0.446
RI,1394,ENSG00000266964.6,FXYD1,chr19,+,"160,182,220,139,183","15,271,562,155,511,000,000","172,152,104,177,165,000,000","1,847,498,470,111,240,000,000,000",427,98,2.14E-10,2.27E-08,"0.023,0.026,0.031,0.028,0.023","0.021,0.065,0.048,0.035,0.083,0.046,0.033",-0.021
RI,6192,ENSG00000008300.17,CELSR3,chr3,-,"22,35,17,4,3","18,8,12,41,4","1,1,6,1,10,2,4","12,36,26,12,39,37,43",446,98,2.56E-10,2.68E-08,"0.212,0.49,0.237,0.021,0.141","0.018,0.006,0.048,0.018,0.053,0.012,0.02",0.195
RI,1401,ENSG00000108963.19,DPH1,chr17,+,"10,18,25,3,2","58,58,32,84,12","0,3,3,0,4,2,0","29,63,46,15,85,50,29",535,98,2.92E-10,2.98E-08,"0.031,0.054,0.125,0.006,0.03","0.0,0.009,0.012,0.0,0.009,0.007,0.0",0.044
RI,6631,ENSG00000160753.17,RUSC1,chr1,+,"15,26,23,7,3","128,90,98,155,20","2,7,5,5,3,5,0","47,154,143,48,122,100,55",235,98,2.90E-10,2.98E-08,"0.047,0.108,0.089,0.018,0.059","0.017,0.019,0.014,0.042,0.01,0.02,0.0",0.047
RI,2476,ENSG00000185896.11,LAMP1,chr13,+,"62,76,66,37,30","296,277,305,372,88","8,31,24,18,18,15,4","183,273,199,104,323,000,000",1031,98,3.12E-10,3.15E-08,"0.02,0.025,0.02,0.009,0.031","0.004,0.011,0.011,0.016,0.005,0.006,0.003",0.013
RI,2077,ENSG00000092529.26,CAPN3,chr15,+,"18,32,19,5,3","81,98,89,152,84","7,4,2,0,7,3,7","100,122,72,44,223,153,40",189,98,3.39E-10,3.38E-08,"0.103,0.145,0.1,0.017,0.018","0.035,0.017,0.014,0.0,0.016,0.01,0.083",0.052
RI,3556,ENSG00000133884.11,DPF2,chr11,+,"11,22,27,0,2","51,11,18,75,8","0,0,2,0,4,0,6","31,44,36,10,53,9,21",608,98,3.72E-10,3.67E-08,"0.034,0.244,0.195,0.0,0.039","0.0,0.0,0.009,0.0,0.012,0.0,0.044",0.093
RI,2287,ENSG00000119723.17,COQ6,chr14,+,"12,18,25,6,14","20,22,28,42,14","4,4,0,0,6,0,6","21,44,47,28,36,36,19",1748,98,4.11E-10,4.00E-08,"0.033,0.044,0.048,0.008,0.053","0.011,0.005,0.0,0.0,0.009,0.0,0.017",0.031
RI,12105,ENSG00000168890.14,TMEM150A,chr2,-,"7,18,13,8,12","0,0,0,2,0","1,4,2,0,8,6,2","5,2,2,1,2,1,0",296,98,4.82E-10,4.64E-08,"1.0,1.0,1.0,0.57,1.0","0.062,0.398,0.249,0.0,0.57,0.665,1.0",0.493
RI,7925,ENSG00000128159.12,TUBGCP6,chr22,-,"13,20,23,0,4","30,15,17,47,9","3,0,3,0,4,2,4","26,36,28,18,38,34,30",285,98,5.69E-10,5.41E-08,"0.13,0.314,0.318,0.0,0.133","0.038,0.0,0.036,0.0,0.035,0.02,0.044",0.154
RI,862,ENSG00000090661.13,CERS4,chr19,+,"40,28,39,3,6","99,68,79,118,66","8,6,1,2,8,10,12","48,91,65,59,113,102,54",454,98,7.05E-10,6.63E-08,"0.08,0.082,0.096,0.005,0.019","0.035,0.014,0.003,0.007,0.015,0.021,0.046",0.036
RI,3577,ENSG00000133895.19,MEN1,chr11,-,"14,32,16,0,10","30,31,31,78,20","1,0,5,2,10,3,6","37,55,48,18,52,50,24",559,98,7.60E-10,7.07E-08,"0.076,0.153,0.083,0.0,0.081","0.005,0.0,0.018,0.019,0.033,0.01,0.042",0.06
RI,776,ENSG00000011243.19,AKAP8L,chr19,-,"77,54,69,36,35","265,270,270,131,93","30,22,34,27,43,51,96","62,93,62,52,104,93,76",1544,98,1.18E-09,1.08E-07,"0.018,0.013,0.016,0.017,0.023","0.03,0.015,0.034,0.032,0.026,0.034,0.074",-0.018
RI,6632,ENSG00000160753.17,RUSC1,chr1,+,"28,67,13,16,8","185,129,123,275,52","3,8,7,5,4,3,7","83,189,166,97,185,129,112",767,98,1.23E-09,1.12E-07,"0.019,0.062,0.013,0.007,0.019","0.005,0.005,0.005,0.007,0.003,0.003,0.008",0.019
RI,7168,ENSG00000117616.18,RSRP1,chr1,-,"61,35,38,40,39","183,214,211,3,45","28,112,83,26,118,97,91","28,20,8,9,57,41,13",1614,98,1.50E-09,1.35E-07,"0.02,0.01,0.011,0.447,0.05","0.057,0.254,0.386,0.149,0.112,0.126,0.298",-0.09
