,ID,GeneID,geneSymbol,chr,strand,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
MXE,585,ENSG00000132639.15,SNAP25,chr20,+,"894,471,366,1439,46","4,751,338,034,329,160,000","16,610,721,587,462,800,000,000","152,710,465,964,947,000,000,000,000,000",216,216,7.48E-08,7.44E-05,"0.158,0.122,0.096,0.136,0.131","0.098,0.093,0.141,0.088,0.075,0.067,0.097",0.034
MXE,2125,ENSG00000119689.15,DLST,chr14,+,"1,8,9,0,1","42,31,39,64,6","0,0,0,0,2,0,0","14,51,59,17,56,30,15",147,151,1.49E-07,0.000129892,"0.024,0.21,0.192,0.0,0.146","0.0,0.0,0.0,0.0,0.035,0.0,0.0",0.109
MXE,3785,ENSG00000138326.21,RPS24,chr10,+,"166,207,162,104,157","108,110,051,189,951,000","137,103,61,107,87,200,173","132,910,837,561,123,000,000,000,000",101,116,1.54E-07,0.000129892,"0.15,0.191,0.135,0.112,0.161","0.106,0.098,0.085,0.099,0.091,0.138,0.105",0.047
MXE,9174,ENSG00000138382.15,METTL5,chr2,-,"172,109,95,160,64","12,14,23,7,11","109,183,164,128,139,000,000","3,7,4,6,10,3,3",280,181,1.68E-07,0.000131267,"0.903,0.834,0.728,0.937,0.79","0.959,0.944,0.964,0.932,0.9,0.973,0.963",-0.109
MXE,10465,ENSG00000293616.2,PCBP1-AS1,chr2,-,"2,2,4,9,2","6,1,1,4,0","4,5,3,5,2,4,9","0,0,1,2,1,0,0",353,160,2.60E-07,0.000189837,"0.131,0.475,0.645,0.505,1.0","1.0,1.0,0.576,0.531,0.475,1.0,1.0",-0.246
MXE,13741,ENSG00000227888.5,FAM66A,chr8,+,"4,1,2,6,2","11,12,14,18,0","0,0,0,0,0,3,1","5,1,22,2,19,15,10",160,241,2.92E-07,0.000200089,"0.354,0.112,0.177,0.334,1.0","0.0,0.0,0.0,0.0,0.0,0.232,0.131",0.344
MXE,10470,ENSG00000293616.2,PCBP1-AS1,chr2,-,"4,2,0,5,4","6,1,1,4,0","1,2,3,4,2,2,6","0,0,1,1,1,0,0",295,160,5.30E-07,0.000341293,"0.266,0.52,0.0,0.404,1.0","1.0,1.0,0.619,0.684,0.52,1.0,1.0",-0.394
MXE,10056,ENSG00000204852.17,TCTN1,chr12,+,"31,38,14,22,14","0,13,8,0,0","20,19,13,2,17,22,19","0,0,0,0,2,0,0",362,405,6.71E-07,0.000408209,"1.0,0.766,0.662,1.0,1.0","1.0,1.0,1.0,1.0,0.905,1.0,1.0",-0.101
MXE,9963,ENSG00000078487.18,ZCWPW1,chr7,-,"13,10,9,11,1","7,8,15,9,4","22,16,9,9,16,12,10","1,6,1,2,1,2,3",219,203,8.14E-07,0.000469221,"0.633,0.537,0.357,0.531,0.188","0.953,0.712,0.893,0.807,0.937,0.848,0.755",-0.394
MXE,9108,ENSG00000196756.16,SNHG17,chr20,-,"20,39,45,46,11","0,0,0,2,0","20,15,16,58,22,92,34","0,0,0,15,0,17,0",183,176,8.70E-07,0.000476332,"1.0,1.0,1.0,0.957,1.0","1.0,1.0,1.0,0.788,1.0,0.839,1.0",0.045
MXE,28,ENSG00000203930.15,LINC00632,chrX,+,"73,184,112,73,132","6,6,2,0,0","40,77,70,62,110,46,98","1,0,0,0,3,0,0",2871,220,1.14E-06,0.000583433,"0.482,0.701,0.811,1.0,1.0","0.754,1.0,1.0,1.0,0.738,1.0,1.0",-0.129
MXE,584,ENSG00000132639.15,SNAP25,chr20,+,"1590,782,646,2455,79","87,706,185,634,816,700,000","318,191,128,458,321,000,000,000","2,816,193,071,778,780,000,000,000,000,000",216,216,1.25E-06,0.000583433,"0.153,0.112,0.092,0.128,0.136","0.101,0.09,0.138,0.087,0.071,0.067,0.109",0.029
MXE,5151,ENSG00000236963.10,LINC01141,chr1,-,"16,26,1,23,0","2,2,2,5,2","2,10,20,5,9,2,14","0,1,0,2,0,0,0",403,220,1.32E-06,0.000583433,"0.814,0.876,0.214,0.715,0.0","1.0,0.845,1.0,0.577,1.0,1.0,1.0",-0.394
MXE,6026,ENSG00000100320.24,RBFOX2,chr22,-,"4,1,0,1,4","2,1,4,2,0","0,0,4,0,0,1,0","4,4,9,11,5,2,3",141,175,1.27E-06,0.000583433,"0.713,0.554,0.0,0.383,1.0","0.0,0.0,0.356,0.0,0.0,0.383,0.0",0.424
MXE,9175,ENSG00000138382.15,METTL5,chr2,-,"115,89,82,141,34","12,14,23,7,11","62,158,132,94,117,114,45","3,7,4,6,10,3,3",213,181,1.33E-06,0.000583433,"0.891,0.844,0.752,0.945,0.724","0.946,0.95,0.966,0.93,0.909,0.97,0.927",-0.111
MXE,6698,ENSG00000163597.18,SNHG16,chr17,+,"2,6,10,0,4","17,6,8,6,8","0,0,0,0,1,2,2","6,12,14,1,8,5,8",729,190,1.44E-06,0.000605202,"0.03,0.207,0.246,0.0,0.115","0.0,0.0,0.0,0.0,0.032,0.094,0.061",0.093
MXE,4921,ENSG00000093167.18,LRRFIP2,chr3,-,"0,2,0,1,0","46,46,64,99,21","1,9,7,2,5,4,1","22,102,57,27,102,51,22",191,200,2.16E-06,0.000874841,"0.0,0.044,0.0,0.01,0.0","0.045,0.085,0.114,0.072,0.049,0.076,0.045",-0.059
MXE,1512,ENSG00000273032.4,DGCR5,chr22,+,"0,0,3,0,0","6,4,2,3,3","4,5,4,2,0,3,2","0,0,4,6,7,7,0",196,192,2.33E-06,0.000912432,"0.0,0.0,0.595,0.0,0.0","1.0,1.0,0.495,0.246,0.0,0.296,1.0",-0.458
MXE,9109,ENSG00000196756.16,SNHG17,chr20,-,"4,20,15,25,7","0,0,0,2,0","11,7,9,41,10,51,15","0,0,0,15,0,17,0",178,176,3.00E-06,0.001134048,"1.0,1.0,1.0,0.925,1.0","1.0,1.0,1.0,0.73,1.0,0.748,1.0",0.06
MXE,8837,ENSG00000143549.22,TPM3,chr1,-,"60,80,55,49,20","357,226,212,362,78","29,33,46,25,20,51,17","140,352,453,203,187,000,000",174,161,3.24E-06,0.001174299,"0.135,0.247,0.194,0.111,0.192","0.161,0.08,0.086,0.102,0.09,0.152,0.062",0.071
MXE,10467,ENSG00000293616.2,PCBP1-AS1,chr2,-,"3,2,0,5,2","6,1,1,4,0","1,2,3,4,0,2,6","0,0,1,1,1,1,0",295,160,3.32E-06,0.001174299,"0.213,0.52,0.0,0.404,1.0","1.0,1.0,0.619,0.684,0.0,0.52,1.0",-0.262
MXE,10466,ENSG00000293616.2,PCBP1-AS1,chr2,-,"4,2,0,9,2","6,1,1,4,0","5,5,4,4,2,2,12","0,0,1,2,1,0,0",295,160,6.33E-06,0.002168028,"0.266,0.52,0.0,0.55,1.0","1.0,1.0,0.684,0.52,0.52,1.0,1.0",-0.351
MXE,382,ENSG00000182362.14,YBEY,chr21,+,"39,27,33,54,13","19,20,26,34,8","20,69,20,27,20,52,63","41,67,24,36,26,68,113",217,227,7.57E-06,0.002474055,"0.682,0.585,0.57,0.624,0.63","0.338,0.519,0.466,0.44,0.446,0.444,0.368",0.187
MXE,9081,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,0,0","30,44,39,28,17","0,3,0,3,0,15,0","9,16,12,11,18,15,24",216,253,7.68E-06,0.002474055,"0.0,0.0,0.0,0.0,0.0","0.0,0.18,0.0,0.242,0.0,0.539,0.0",-0.137
MXE,10055,ENSG00000204852.17,TCTN1,chr12,+,"65,88,37,50,33","0,13,8,0,0","44,37,33,14,33,37,36","0,0,0,0,2,0,0",348,405,7.99E-06,0.002501199,"1.0,0.887,0.843,1.0,1.0","1.0,1.0,1.0,1.0,0.951,1.0,1.0",-0.047
MXE,10054,ENSG00000204852.17,TCTN1,chr12,+,"28,67,13,18,23","0,13,8,0,0","13,16,23,13,38,12,15","0,0,0,0,2,0,0",239,405,8.73E-06,0.002656902,"1.0,0.897,0.734,1.0,1.0","1.0,1.0,1.0,1.0,0.97,1.0,1.0",-0.07
MXE,6697,ENSG00000163597.18,SNHG16,chr17,+,"2,6,10,0,4","28,19,21,15,14","0,0,0,0,1,2,2","21,30,26,5,20,19,17",729,197,9.47E-06,0.002803688,"0.019,0.079,0.114,0.0,0.072","0.0,0.0,0.0,0.0,0.013,0.028,0.031",0.047
MXE,11059,ENSG00000049167.16,ERCC8,chr5,-,"6,7,8,8,8","17,11,5,15,1","0,0,6,2,4,1,2","10,15,20,15,26,10,5",408,180,1.11E-05,0.00319683,"0.135,0.219,0.414,0.19,0.779","0.0,0.0,0.117,0.056,0.064,0.042,0.15",0.286
MXE,10474,ENSG00000293616.2,PCBP1-AS1,chr2,-,"3,2,0,5,2","8,1,1,4,0","1,2,5,4,0,2,6","0,0,1,3,1,0,0",295,160,1.28E-05,0.003599973,"0.169,0.52,0.0,0.404,1.0","1.0,1.0,0.731,0.42,0.0,1.0,1.0",-0.317
MXE,5854,ENSG00000109339.24,MAPK10,chr4,-,"784,733,491,970,109","8,10,0,14,0","2,559,761,410,295,970,000,000","0,1,3,0,4,5,0",2792,170,1.32E-05,0.003610182,"0.856,0.817,1.0,0.808,1.0","1.0,0.983,0.966,1.0,0.937,0.863,1.0",-0.068
MXE,9087,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,0,0","25,32,25,19,6","0,3,0,3,0,15,0","10,11,8,18,10,12,22",216,380,1.46E-05,0.00387213,"0.0,0.0,0.0,0.0,0.0","0.0,0.324,0.0,0.227,0.0,0.687,0.0",-0.177
MXE,9093,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,0,0","32,32,36,26,19","0,3,0,3,0,15,0","6,18,21,10,20,13,15",216,248,1.52E-05,0.00387213,"0.0,0.0,0.0,0.0,0.0","0.0,0.161,0.0,0.256,0.0,0.57,0.0",-0.141
MXE,11314,ENSG00000125863.20,MKKS,chr20,-,"217,240,160,422,37","125,312,988,781,629,000","156,411,414,238,303,000,000","325,149,419,265,121,000,000,000",329,1500,1.54E-05,0.00387213,"0.441,0.457,0.454,0.542,0.424","0.686,0.556,0.495,0.679,0.484,0.626,0.703",-0.141
MXE,15447,ENSG00000145819.18,ARHGAP26,chr5,+,"15,12,12,12,2","0,0,0,2,0","6,14,27,5,20,16,2","0,3,3,3,3,0,2",209,128,1.56E-05,0.00387213,"1.0,1.0,1.0,0.786,1.0","1.0,0.741,0.846,0.505,0.803,1.0,0.38",0.204
MXE,3515,ENSG00000109919.10,MTCH2,chr11,-,"9,13,6,7,4","62,40,44,73,11","7,3,3,2,1,0,7","28,103,143,44,78,63,23",161,156,1.93E-05,0.004257623,"0.123,0.239,0.117,0.085,0.261","0.195,0.027,0.02,0.042,0.012,0.0,0.228",0.09
MXE,7527,ENSG00000270757.1,HSPE1-MOB4,chr2,+,"4,14,3,0,1","138,175,72,124,18","0,0,1,0,3,0,0","25,125,183,38,110,81,18",161,199,1.94E-05,0.004257623,"0.035,0.09,0.049,0.0,0.064","0.0,0.0,0.007,0.0,0.033,0.0,0.0",0.042
MXE,9071,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,0,0","24,27,29,22,14","0,3,0,3,0,15,0","5,13,11,7,15,10,13",216,328,1.85E-05,0.004257623,"0.0,0.0,0.0,0.0,0.0","0.0,0.259,0.0,0.394,0.0,0.695,0.0",-0.193
MXE,9076,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,0,0","24,28,29,22,14","0,3,0,3,0,15,0","5,13,11,7,15,10,13",216,294,1.86E-05,0.004257623,"0.0,0.0,0.0,0.0,0.0","0.0,0.239,0.0,0.368,0.0,0.671,0.0",-0.183
MXE,9104,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,0,0","22,24,23,20,14","0,3,0,3,0,15,0","4,13,11,7,17,10,11",216,244,1.93E-05,0.004257623,"0.0,0.0,0.0,0.0,0.0","0.0,0.207,0.0,0.326,0.0,0.629,0.0",-0.166
MXE,15480,ENSG00000177565.19,TBL1XR1,chr3,-,"0,0,0,3,0","49,32,15,39,12","0,4,2,4,9,5,0","11,26,74,24,48,40,12",217,201,1.91E-05,0.004257623,"0.0,0.0,0.0,0.067,0.0","0.0,0.125,0.024,0.134,0.148,0.104,0.0",-0.063
MXE,2468,ENSG00000120694.20,HSPH1,chr13,-,"632,696,218,515,61","10,633,796,686,511,100","94,623,682,160,723,290,52","104,815,768,226,601,267,46",230,236,2.05E-05,0.004324128,"0.379,0.158,0.246,0.508,0.281","0.481,0.44,0.477,0.421,0.552,0.527,0.537",-0.176
MXE,3510,ENSG00000182087.14,TMEM259,chr19,-,"306,274,401,430,205","23,18,25,4,7","273,274,240,191,331,000,000","10,2,3,0,6,16,7",198,203,2.20E-05,0.004324128,"0.932,0.94,0.943,0.991,0.968","0.966,0.993,0.988,1.0,0.983,0.949,0.983",-0.025
MXE,5369,ENSG00000240344.10,PPIL3,chr2,-,"10,11,9,8,3","43,50,32,89,5","3,6,4,3,6,2,0","27,127,80,58,63,42,1",180,192,2.11E-05,0.004324128,"0.199,0.19,0.231,0.087,0.39","0.106,0.048,0.051,0.052,0.092,0.048,0.0",0.163
MXE,6449,ENSG00000259495.4,ARNT2-DT,chr15,-,"1,1,4,2,6","4,7,8,8,0","3,1,2,1,4,5,2","2,0,0,0,3,2,0",161,237,2.25E-05,0.004324128,"0.269,0.174,0.424,0.269,1.0","0.688,1.0,1.0,1.0,0.662,0.786,1.0",-0.449
MXE,8257,ENSG00000095794.21,CREM,chr10,+,"53,50,53,70,22","23,20,14,7,6","29,61,37,25,76,77,39","6,10,7,3,7,3,1",241,287,2.18E-05,0.004324128,"0.733,0.749,0.818,0.923,0.814","0.852,0.879,0.863,0.908,0.928,0.968,0.979",-0.104
MXE,9099,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,0,0","27,20,22,17,8","0,3,0,3,0,15,0","7,13,17,17,12,10,13",216,375,2.24E-05,0.004324128,"0.0,0.0,0.0,0.0,0.0","0.0,0.286,0.0,0.235,0.0,0.723,0.0",-0.178
MXE,9471,ENSG00000223482.11,NUTM2A-AS1,chr10,-,"12,28,19,37,11","4,0,14,0,0","14,17,21,18,14,33,29","2,1,0,0,0,0,0",152,196,2.29E-05,0.004324128,"0.795,1.0,0.636,1.0,1.0","0.9,0.956,1.0,1.0,1.0,1.0,1.0",-0.093
MXE,13984,ENSG00000242086.9,MUC20-OT1,chr3,+,"0,6,0,2,4","6,14,9,7,10","0,0,0,2,1,0,1","4,5,3,1,4,3,8",214,400,2.15E-05,0.004324128,"0.0,0.445,0.0,0.348,0.428","0.0,0.0,0.0,0.789,0.318,0.0,0.189",0.059
MXE,2128,ENSG00000119655.11,NPC2,chr14,-,"42,40,23,48,29","166,259,142,173,100","53,27,26,28,58,61,60","142,106,89,80,159,139,132",243,206,2.42E-05,0.004489862,"0.177,0.116,0.121,0.19,0.197","0.24,0.178,0.198,0.229,0.236,0.271,0.278",-0.073
MXE,13691,ENSG00000164733.23,CTSB,chr8,-,"6,10,2,3,4","7,1,6,5,2","2,0,4,0,0,1,0","4,9,3,1,1,6,2",232,333,2.74E-05,0.00499553,"0.552,0.935,0.324,0.463,0.742","0.418,0.0,0.657,0.0,0.0,0.193,0.0",0.422
MXE,7109,ENSG00000136404.16,TM6SF1,chr15,+,"13,9,4,7,0","51,33,42,101,3","1,5,7,0,1,7,0","9,149,130,59,68,60,17",203,191,2.85E-05,0.005031751,"0.193,0.204,0.082,0.061,0.0","0.095,0.031,0.048,0.0,0.014,0.099,0.0",0.067
MXE,13820,ENSG00000078674.20,PCM1,chr8,+,"58,119,54,50,23","3,6,4,0,3","16,47,101,8,91,87,30","0,1,0,1,2,0,0",263,155,2.83E-05,0.005031751,"0.919,0.921,0.888,1.0,0.819","1.0,0.965,1.0,0.825,0.964,1.0,1.0",-0.055
MXE,6545,ENSG00000228956.10,SATB1-AS1,chr3,+,"10,23,9,7,1","0,0,2,1,0","5,7,9,14,15,4,10","0,1,1,3,3,6,0",303,154,3.04E-05,0.005282415,"1.0,1.0,0.696,0.781,1.0","1.0,0.781,0.821,0.703,0.718,0.253,1.0",0.142
MXE,5853,ENSG00000109339.24,MAPK10,chr4,-,"227,179,154,282,37","8,10,0,14,0","80,277,369,67,280,139,75","0,1,3,0,4,5,0",170,170,3.11E-05,0.005290835,"0.966,0.947,1.0,0.953,1.0","1.0,0.996,0.992,1.0,0.986,0.965,1.0",-0.018
MXE,9078,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,2,0","30,44,39,28,17","2,0,0,27,0,28,0","9,16,12,11,18,15,24",176,253,3.18E-05,0.005290835,"0.0,0.0,0.0,0.093,0.0","0.242,0.0,0.0,0.779,0.0,0.729,0.0",-0.231
MXE,10057,ENSG00000204852.17,TCTN1,chr12,+,"55,71,36,47,31","0,13,8,0,0","44,27,30,14,31,33,34","0,0,0,0,2,0,0",255,405,3.19E-05,0.005290835,"1.0,0.897,0.877,1.0,1.0","1.0,1.0,1.0,1.0,0.961,1.0,1.0",-0.04
MXE,1835,ENSG00000140416.26,TPM1,chr15,+,"42,65,49,27,39","211,186,187,433,61","19,36,29,5,28,37,12","127,364,469,184,206,178,96",174,174,3.45E-05,0.005562611,"0.166,0.259,0.208,0.059,0.39","0.13,0.09,0.058,0.026,0.12,0.172,0.111",0.115
MXE,9068,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,2,0","24,27,29,22,14","2,0,0,27,0,28,0","5,13,11,7,15,10,13",176,328,3.45E-05,0.005562611,"0.0,0.0,0.0,0.145,0.0","0.427,0.0,0.0,0.878,0.0,0.839,0.0",-0.277
MXE,8256,ENSG00000095794.21,CREM,chr10,+,"49,44,46,63,19","17,9,9,2,5","28,56,31,22,57,67,31","3,7,4,0,3,1,1",241,287,3.61E-05,0.005738138,"0.774,0.853,0.859,0.974,0.819","0.917,0.905,0.902,1.0,0.958,0.988,0.974",-0.093
MXE,9073,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,2,0","24,28,29,22,14","2,0,0,27,0,28,0","5,13,11,7,15,10,13",176,294,3.76E-05,0.005840918,"0.0,0.0,0.0,0.132,0.0","0.401,0.0,0.0,0.866,0.0,0.824,0.0",-0.272
MXE,9090,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,2,0","32,32,36,26,19","2,0,0,27,0,28,0","6,18,21,10,20,13,15",176,248,3.79E-05,0.005840918,"0.0,0.0,0.0,0.098,0.0","0.32,0.0,0.0,0.792,0.0,0.752,0.0",-0.247
MXE,8103,ENSG00000079819.20,EPB41L2,chr6,-,"0,0,1,2,1","80,79,53,139,15","1,8,2,4,2,0,6","26,78,101,62,66,32,52",161,245,3.84E-05,0.005848128,"0.0,0.0,0.028,0.021,0.092","0.055,0.135,0.029,0.089,0.044,0.0,0.149",-0.043
MXE,7432,ENSG00000164919.11,COX6C,chr8,-,"109,395,311,961,523,000","28,072,547,317,933,300,000","1,230,172,513,291,800,000,000,000,000","3,099,323,122,634,000,000,000,000,000",238,227,4.08E-05,0.006115844,"0.271,0.263,0.264,0.303,0.199","0.275,0.337,0.359,0.301,0.348,0.324,0.267",-0.056
MXE,6990,ENSG00000281039.1,ENSG00000281039,chr7,-,"13,42,16,5,24","215,213,159,342,46","6,10,2,9,5,6,12","64,264,280,176,158,176,92",218,234,4.63E-05,0.006855721,"0.061,0.175,0.097,0.015,0.359","0.091,0.039,0.008,0.052,0.033,0.035,0.123",0.087
MXE,9101,ENSG00000196756.16,SNHG17,chr20,-,"0,0,0,2,0","22,24,23,20,14","2,0,0,27,0,28,0","4,13,11,7,17,10,11",176,244,4.77E-05,0.006966733,"0.0,0.0,0.0,0.122,0.0","0.409,0.0,0.0,0.842,0.0,0.795,0.0",-0.268
MXE,7433,ENSG00000164919.11,COX6C,chr8,-,"114,798,212,731,593,000","27,852,534,317,633,200,000","1,296,177,714,291,860,000,000,000,000","3,090,321,122,603,990,000,000,000,000",243,227,4.99E-05,0.007196124,"0.278,0.266,0.272,0.309,0.207","0.282,0.341,0.371,0.304,0.362,0.33,0.273",-0.057
MXE,14512,ENSG00000137073.24,UBAP2,chr9,-,"0,0,0,0,0","9,9,10,16,3","0,3,5,0,3,2,0","1,14,8,10,20,17,10",136,209,5.55E-05,0.007898283,"0.0,0.0,0.0,0.0,0.0","0.0,0.248,0.49,0.0,0.187,0.153,0.0",-0.154
MXE,1481,ENSG00000246379.10,GNAO1-DT,chr16,-,"1,2,0,1,0","5,14,8,10,6","0,2,1,8,4,4,0","3,8,7,0,8,0,6",196,317,6.11E-05,0.008580833,"0.244,0.188,0.0,0.139,0.0","0.0,0.288,0.188,1.0,0.447,1.0,0.0",-0.303
MXE,11758,ENSG00000131437.16,KIF3A,chr5,-,"20,6,13,63,3","101,40,42,165,63","9,77,52,12,69,14,9","22,140,172,15,126,34,17",170,107,6.22E-05,0.008626294,"0.111,0.086,0.163,0.194,0.029","0.205,0.257,0.16,0.335,0.256,0.206,0.25",-0.122
MXE,1346,ENSG00000266964.6,FXYD1,chr19,+,"271,237,166,54,177","536,573,515,350,562","225,28,24,28,45,73,106","644,152,175,411,122,000,000",163,131,6.70E-05,0.009065445,"0.289,0.249,0.206,0.11,0.202","0.219,0.129,0.099,0.052,0.229,0.131,0.141",0.068
MXE,9660,ENSG00000154553.17,PDLIM3,chr4,-,"114,57,44,63,32","3,8,2,2,0","55,32,42,34,41,84,22","0,0,3,0,0,0,0",286,166,6.70E-05,0.009065445,"0.957,0.805,0.927,0.948,1.0","1.0,1.0,0.89,1.0,1.0,1.0,1.0",-0.057
MXE,5719,ENSG00000290763.2,SDHAP1,chr3,-,"0,0,2,5,5","14,2,12,0,4","2,7,8,1,12,7,11","4,0,1,0,0,13,0",199,210,7.00E-05,0.009348638,"0.0,0.0,0.15,1.0,0.569","0.345,1.0,0.894,1.0,1.0,0.362,1.0",-0.456
MXE,2152,ENSG00000072110.17,ACTN1,chr14,-,"161,204,169,209,80","100,76,127,244,56","83,149,127,110,193,100,000","104,229,163,188,160,000,000",179,164,7.20E-05,0.009481928,"0.596,0.711,0.549,0.44,0.567","0.422,0.373,0.417,0.349,0.525,0.444,0.408",0.153
MXE,3786,ENSG00000138326.21,RPS24,chr10,+,"166,207,162,104,157","227,230,245,159,205","137,103,61,107,87,200,173","212,221,160,238,173,000,000",101,127,7.28E-05,0.009481928,"0.479,0.531,0.454,0.451,0.491","0.448,0.369,0.324,0.361,0.387,0.435,0.408",0.091
MXE,9965,ENSG00000078487.18,ZCWPW1,chr7,-,"3,0,0,0,0","2,10,6,8,8","2,7,2,0,0,4,4","5,16,6,1,10,4,7",155,221,7.36E-05,0.009481928,"0.681,0.0,0.0,0.0,0.0","0.363,0.384,0.322,0.0,0.0,0.588,0.449",-0.165
MXE,10477,ENSG00000293616.2,PCBP1-AS1,chr2,-,"19,33,12,10,6","8,1,1,4,0","5,24,11,3,16,25,9","0,0,1,3,1,0,0",248,160,7.48E-05,0.00952901,"0.605,0.955,0.886,0.617,1.0","1.0,1.0,0.876,0.392,0.912,1.0,1.0",-0.07
MXE,4689,ENSG00000091164.13,TXNL1,chr18,-,"2,1,1,4,0","205,209,122,260,18","2,4,5,1,7,9,9","82,227,240,99,255,171,46",185,261,7.63E-05,0.009609535,"0.014,0.007,0.011,0.021,0.0","0.033,0.024,0.029,0.014,0.037,0.069,0.216",-0.05
MXE,7132,ENSG00000291129.2,PPIEL,chr1,-,"1,2,0,2,2","11,16,17,19,16","5,3,6,1,6,4,5","11,13,13,5,16,10,20",154,223,7.85E-05,0.009775402,"0.116,0.153,0.0,0.132,0.153","0.397,0.25,0.401,0.225,0.352,0.367,0.266",-0.212
MXE,8051,ENSG00000166997.8,CNPY4,chr7,+,"20,13,21,17,10","2,3,1,5,3","15,6,19,8,20,18,21","7,6,8,6,14,6,13",195,221,8.57E-05,0.010553524,"0.919,0.831,0.96,0.794,0.791","0.708,0.531,0.729,0.602,0.618,0.773,0.647",0.201
MXE,11031,ENSG00000300022.1,ENSG00000300022,chr5,-,"6,15,9,14,6","0,0,0,0,1","2,9,2,3,14,6,1","2,0,1,1,2,4,2",273,273,8.85E-05,0.010767782,"1.0,1.0,1.0,1.0,0.857","0.5,1.0,0.667,0.75,0.875,0.6,0.333",0.296
